student_id,cohort,academic_year,semester,checkpoint_week,outcome_horizon,course_failed,new_backlog,gpa_below_threshold,attendance_shortage,discontinued
S0001,2024,2024-25,1,6,end_of_semester,True,False,True,False,True
S0001,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0001,2024,2025-26,3,6,end_of_semester,True,True,True,False,False
S0001,2024,2025-26,4,6,end_of_semester,False,False,True,False,True
S0002,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0002,2024,2024-25,2,6,end_of_semester,True,False,True,True,False
S0002,2024,2025-26,3,6,end_of_semester,True,True,True,False,False
S0002,2024,2025-26,4,6,end_of_semester,False,True,False,False,False
S0003,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0003,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0003,2024,2025-26,3,6,end_of_semester,False,True,False,False,False
S0003,2024,2025-26,4,6,end_of_semester,False,True,False,False,False
S0004,2024,2024-25,1,6,end_of_semester,False,False,False,True,False
S0004,2024,2024-25,2,6,end_of_semester,True,False,False,False,False
S0004,2024,2025-26,3,6,end_of_semester,False,False,False,True,False
S0004,2024,2025-26,4,6,end_of_semester,False,False,False,False,False
S0005,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0005,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0005,2024,2025-26,3,6,end_of_semester,False,False,False,True,False
S0005,2024,2025-26,4,6,end_of_semester,False,False,False,False,False
S0006,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0006,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0006,2024,2025-26,3,6,end_of_semester,True,False,False,False,False
S0006,2024,2025-26,4,6,end_of_semester,False,True,False,True,False
S0007,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0007,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0007,2024,2025-26,3,6,end_of_semester,False,False,False,False,False
S0007,2024,2025-26,4,6,end_of_semester,False,False,False,True,False
S0008,2024,2024-25,1,6,end_of_semester,False,True,False,False,False
S0008,2024,2024-25,2,6,end_of_semester,False,False,False,True,False
S0008,2024,2025-26,3,6,end_of_semester,False,False,False,False,False
S0008,2024,2025-26,4,6,end_of_semester,False,False,False,False,False
S0009,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0009,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0009,2024,2025-26,3,6,end_of_semester,False,False,False,False,False
S0009,2024,2025-26,4,6,end_of_semester,False,False,False,True,False
S0010,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
S0010,2024,2024-25,2,6,end_of_semester,False,False,False,False,False
S0010,2024,2025-26,3,6,end_of_semester,False,False,False,False,False
S0010,2024,2025-26,4,6,end_of_semester,False,False,False,False,False
S0011,2024,2024-25,1,6,end_of_semester,False,False,False,False,False
