department_id,department_name,course_id,course_name,semester,course_credits,passing_marks,attendance_threshold,gpa_threshold
DEPT_CSE,Computer Science and Engineering,CSE101,Programming Fundamentals,1,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE102,Engineering Mathematics I,1,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE103,Engineering Physics,1,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE104,Engineering Drawing,1,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE105,Communication Skills,1,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE201,Data Structures,2,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE202,Engineering Mathematics II,2,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE203,Digital Logic Design,2,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE204,Object Oriented Programming,2,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE205,Environmental Science,2,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE301,Database Systems,3,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE302,Computer Organization,3,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE303,Discrete Mathematics,3,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE304,Operating Systems Fundamentals,3,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE305,Web Technologies,3,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE401,Design and Analysis of Algorithms,4,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE402,Computer Networks,4,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE403,Theory of Computation,4,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE404,Software Engineering,4,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE405,Probability and Statistics,4,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE501,Operating Systems,5,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE502,Database Management Systems,5,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE503,Design and Analysis of Algorithms,5,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE504,Computer Networks,5,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE505,Software Engineering,5,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE601,Artificial Intelligence,6,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE602,Machine Learning,6,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE603,Cloud Computing,6,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE604,Compiler Design,6,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE605,Information Security,6,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE701,Distributed Systems,7,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE702,Big Data Analytics,7,4,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE703,Advanced Algorithms,7,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE704,Project Work I,7,3,40,75.0,7.0
DEPT_CSE,Computer Science and Engineering,CSE705,Professional Elective,7,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE101,Engineering Mathematics I,1,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE102,Engineering Physics,1,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE103,Basic Electrical Engineering,1,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE104,Engineering Drawing,1,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE105,Communication Skills,1,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE201,Electronic Devices,2,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE202,Engineering Mathematics II,2,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE203,Digital Logic Design,2,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE204,Circuit Theory,2,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE205,Programming for Engineers,2,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE301,Signals and Systems,3,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE302,Analog Electronics,3,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE303,Network Theory,3,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE304,Electromagnetic Theory,3,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE305,Data Structures,3,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE401,Digital Communication,4,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE402,Microprocessors,4,4,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE403,Control Systems,4,3,40,75.0,7.0
DEPT_ECE,Electronics and Communication Engineering,ECE404,Probability and Statistics,4,3,40,75.0,7.0
